,w,tc,stc,2010_7,2010,2013_7,2013,2016_7,2016,2010,2011,2012,2013,2014,2015,2006,2007,2008
0,landslid,1330,58,58,96,70,150,58,153,22,8,4,2,2,1,72,70,59
1,inform_effect,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,mxl_model_in_wtp_space,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,geograph_represent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,discret_choic_experi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,flood_vulner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,spatial_homogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,spatial_heterogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,geomorpholog_map,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,geolog_hazard_assess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,geograph_inform_system,974,14,15,69,22,81,14,83,8,2,2,0,0,0,22,22,20
11,geomorpholog_of_mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,drought,89,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1
13,resili,284,6,8,3,6,8,6,9,1,1,1,0,0,0,6,6,6
14,multicriteria_decis_make_mcdm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,region_assess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,spatial_variabl,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,vulner_map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,geograph_inform_system_gis,830,10,1,44,5,49,10,53,9,9,5,5,3,1,10,10,10
19,social_vulner,164,1,8,8,8,8,1,9,1,1,1,1,0,0,9,9,1
20,flood_prepared,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,flood,477,3,10,10,7,12,3,13,3,1,1,1,1,0,8,7,4
22,case_studi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,risk_percept,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,risk_communic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,environment_hazard,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,environment_communic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,arsenic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,human_biomonitor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,health_hazard,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,environment_disast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,social_work,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,communiti_social_support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,disast_mitig,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,hurrican,44,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
36,damag,22,0,1,3,0,3,0,3,0,0,0,0,0,0,0,0,0
37,natur_disast,119,2,2,3,2,3,2,5,2,2,2,2,0,0,4,2,2
38,insur,90,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0
39,texa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,chronic_hepat_b_infect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,fib_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,hcc_risk_stratif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,hepatocellular_carcinoma,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,short_term_heavi_rain,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
45,subsid_risk_area,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
46,flash_flood_hazard,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
47,flood_model,55,6,0,0,6,6,6,6,6,6,0,0,0,0,6,6,6
48,flood_vulner_index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,fvi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,gis,1446,73,23,29,73,77,73,98,73,38,25,15,14,4,88,85,76
51,mitig,20,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
52,emerg_plan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,build_construct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,damag_caus_analysi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,loss_ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,claim_payout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,loss_predict_model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,anim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,co_occurr,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,kangaroo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,risk,535,3,8,40,9,43,3,43,3,0,0,0,0,0,9,9,9
62,road_ecolog,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,roadkil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,spatial,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,speci_distribut_model,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,speed_limit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,traffic_volum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,urban_form,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,what_if_scenario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,tsunami,55,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0
71,evacu,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,agent_bas_model,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,human_environ_relat,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,apuseni_mountain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,possibil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,tourism,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,karst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,flood_risk_assess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,flood_damag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,analyt_hierarchi_process,33,5,0,0,5,5,5,5,5,0,0,0,0,0,5,5,5
81,indic,50,2,0,0,2,2,2,2,2,0,0,0,0,0,2,2,2
82,natur_hazard,844,8,13,37,17,43,8,45,8,3,2,0,0,0,17,15,8
83,itali,79,1,1,1,1,1,1,2,1,1,1,1,0,0,2,2,2
84,map_vulner,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,risk_mitig,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,fluorid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,water_hard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,drink_water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,environment_exposur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,myocardi_infarct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,coronari_heart_diseas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,cardiovascular_diseas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,cohort_studi,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,protect_forest,9,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
95,rockfal,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,ecosystem_servic,9,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
97,3d_simul_model,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,mountain_forest,8,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1
99,glaciat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,geomorpholog,25,5,9,4,5,9,5,9,0,0,0,0,0,0,5,5,5
101,glaciomechan_effect,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,rock_mechan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,isparta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,turkey,48,0,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0
105,earthquake_induc_landslid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,slope_stabil,17,2,0,0,1,1,2,1,2,1,1,1,1,1,2,2,2
107,numer_simul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,parallel_comput,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,wenchuan_earthquak,38,4,0,0,4,4,4,4,4,4,0,0,0,0,4,4,4
110,debri_flow,53,0,2,2,1,2,0,2,0,0,0,0,0,0,1,1,1
111,natur_hazard_mitig,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,hazard_manag_optim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,econom_risk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,optim_risk_manag,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,wildfir,53,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
116,modi,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,inund,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,likelihood,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,spatial_uncertainti,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,probabl,91,0,1,5,1,5,0,5,0,0,0,0,0,0,1,1,0
121,gas_pipelin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,gas_grid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,reliabl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,incid_criteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,bayesian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,hierarch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,intens_scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,damag_risk_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,multi_hazard_assess,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,multi_hazard_zone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,bangladesh,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,seismic_impact,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,disrupt_index,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,urban_system,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,risk_measur,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,mt_._etna_area_itali,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,crowdsourc,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,disast_risk_reduct,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,flood_resili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,social_media,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,volunt_geograph_inform_vgi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,air_traffic_network,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,spatial_hazard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,network_theori,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,adapt_strategi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,rs,16,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1
147,meteorolog,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,spatial_and_tempor_characterist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,coastal_flood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,fema_flood_insur_studi_fis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,flood_risk_map,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,grid_surfac_subsurfac_hydrolog_analysi_gssha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,hazard_unit_state_hazus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,moldavian_plateau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,multivari_statist_method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,predictor_weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,receiv_oper_characterist_curv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,semi_qualit_method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,geobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,data_mine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,machin_learn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,landsat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,neighborhood_effect,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
164,natur_experi,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
165,academ_perform,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
166,instrument_variabl,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
167,suscept_model,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
168,statist_method,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
169,accuraci_assess,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
170,flood_risk_manag,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,spatial_plan,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,integr,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,geograph_technolog,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,inform_infrastructur,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,evacu_facil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,risk_assess,266,6,2,5,6,8,6,11,6,3,3,2,0,0,8,8,8
177,hazard,634,1,16,47,14,48,1,48,1,1,0,0,0,0,14,14,8
178,vulner,881,11,13,42,16,51,11,53,7,4,2,1,0,0,17,17,17
